Variável,Total,Feminino,Masculino,p-valor
N,26414,14966,11448,
"Idade, mediana (IQR)",49.50 (30.50-67.90),48.90 (30.30-68.20),50.30 (31.00-67.60),0.819
"Faixa etária <18, n (%)",1837 (8.0%),950 (7.3%),887 (8.9%),<0.001
"Faixa etária 18-39, n (%)",6786 (29.5%),4009 (30.8%),2777 (27.8%),
"Faixa etária 40-59, n (%)",5966 (25.9%),3359 (25.8%),2607 (26.1%),
"Faixa etária ≥60, n (%)",8430 (36.6%),4713 (36.2%),3717 (37.2%),
"LEUCO, mediana (IQR)",8380.00 (5940.00-11350.00),8350.00 (5910.00-11240.00),8420.00 (5960.00-11490.00),0.003
"PLAQ, mediana (IQR)",232000.00 (175000.00-293000.00),243000.00 (185000.00-302000.00),220000.00 (163000.00-279000.00),<0.001
"PCR, mediana (IQR)",10.82 (2.79-43.74),10.18 (2.77-38.86),11.72 (2.82-51.47),<0.001
"CREATININA, mediana (IQR)",0.87 (0.70-1.11),0.77 (0.65-0.97),1.01 (0.84-1.23),<0.001
"UREIA, mediana (IQR)",33.00 (24.75-45.83),30.55 (22.89-42.64),36.32 (27.69-49.11),<0.001
"TGO, mediana (IQR)",27.00 (19.00-39.50),26.80 (17.70-36.90),28.10 (21.00-42.70),<0.001
"TGP, mediana (IQR)",20.30 (13.80-34.60),18.30 (12.80-30.90),23.00 (15.50-38.80),<0.001
"Cluster 0, n (%)",5837 (22.1%),2601 (17.4%),3236 (28.3%),<0.001
"Cluster 1, n (%)",5029 (19.0%),2658 (17.8%),2371 (20.7%),
"Cluster 2, n (%)",15548 (58.9%),9707 (64.9%),5841 (51.0%),
